event_id,event_name,region,match_id,map,team,opponent,rounds_played,result
2097,Valorant Champions 2024,,378662,Haven,Gen.G,Sentinels,21,1
2097,Valorant Champions 2024,,378662,Haven,Sentinels,Gen.G,21,0
2097,Valorant Champions 2024,,378662,Ascent,Gen.G,Sentinels,20,1
2097,Valorant Champions 2024,,378662,Ascent,Sentinels,Gen.G,20,0
2097,Valorant Champions 2024,,378663,Abyss,FunPlus Phoenix,Team Heretics,26,0
2097,Valorant Champions 2024,,378663,Abyss,Team Heretics,FunPlus Phoenix,26,1
2097,Valorant Champions 2024,,378663,Bind,FunPlus Phoenix,Team Heretics,22,1
2097,Valorant Champions 2024,,378663,Bind,Team Heretics,FunPlus Phoenix,22,0
2097,Valorant Champions 2024,,378663,Lotus,FunPlus Phoenix,Team Heretics,28,0
2097,Valorant Champions 2024,,378663,Lotus,Team Heretics,FunPlus Phoenix,28,1
2097,Valorant Champions 2024,,378657,Haven,DRX,KRÜ Esports,15,0
2097,Valorant Champions 2024,,378657,Haven,KRÜ Esports,DRX,15,1
2097,Valorant Champions 2024,,378657,Abyss,DRX,KRÜ Esports,19,1
2097,Valorant Champions 2024,,378657,Abyss,KRÜ Esports,DRX,19,0
2097,Valorant Champions 2024,,378657,Bind,DRX,KRÜ Esports,19,1
2097,Valorant Champions 2024,,378657,Bind,KRÜ Esports,DRX,19,0
2097,Valorant Champions 2024,,378656,Bind,FNATIC,Bilibili Gaming,22,1
2097,Valorant Champions 2024,,378656,Bind,Bilibili Gaming,FNATIC,22,0
2097,Valorant Champions 2024,,378656,Lotus,FNATIC,Bilibili Gaming,17,1
2097,Valorant Champions 2024,,378656,Lotus,Bilibili Gaming,FNATIC,17,0
2097,Valorant Champions 2024,,378667,Bind,LEVIATÁN,TALON,24,1
2097,Valorant Champions 2024,,378667,Bind,TALON,LEVIATÁN,24,0
2097,Valorant Champions 2024,,378667,Ascent,LEVIATÁN,TALON,21,1
2097,Valorant Champions 2024,,378667,Ascent,TALON,LEVIATÁN,21,0
2097,Valorant Champions 2024,,378669,Ascent,Team Vitality,Trace Esports,28,0
2097,Valorant Champions 2024,,378669,Ascent,Trace Esports,Team Vitality,28,1
2097,Valorant Champions 2024,,378669,Sunset,Team Vitality,Trace Esports,20,1
2097,Valorant Champions 2024,,378669,Sunset,Trace Esports,Team Vitality,20,0
2097,Valorant Champions 2024,,378669,Bind,Team Vitality,Trace Esports,20,0
2097,Valorant Champions 2024,,378669,Bind,Trace Esports,Team Vitality,20,1
2097,Valorant Champions 2024,,378674,Icebox,G2 Esports,Paper Rex,21,1
2097,Valorant Champions 2024,,378674,Icebox,Paper Rex,G2 Esports,21,0
2097,Valorant Champions 2024,,378674,Lotus,G2 Esports,Paper Rex,22,1
2097,Valorant Champions 2024,,378674,Lotus,Paper Rex,G2 Esports,22,0
2097,Valorant Champions 2024,,378673,Lotus,EDward Gaming,FUT Esports,22,1
2097,Valorant Champions 2024,,378673,Lotus,FUT Esports,EDward Gaming,22,0
2097,Valorant Champions 2024,,378673,Bind,EDward Gaming,FUT Esports,23,1
2097,Valorant Champions 2024,,378673,Bind,FUT Esports,EDward Gaming,23,0
2097,Valorant Champions 2024,,378664,Abyss,Gen.G,Team Heretics,24,1
2097,Valorant Champions 2024,,378664,Abyss,Team Heretics,Gen.G,24,0
2097,Valorant Champions 2024,,378664,Lotus,Gen.G,Team Heretics,24,0
2097,Valorant Champions 2024,,378664,Lotus,Team Heretics,Gen.G,24,1
2097,Valorant Champions 2024,,378664,Bind,Gen.G,Team Heretics,23,0
2097,Valorant Champions 2024,,378664,Bind,Team Heretics,Gen.G,23,1
2097,Valorant Champions 2024,,378658,Abyss,FNATIC,DRX,24,0
2097,Valorant Champions 2024,,378658,Abyss,DRX,FNATIC,24,1
2097,Valorant Champions 2024,,378658,Lotus,FNATIC,DRX,19,0
2097,Valorant Champions 2024,,378658,Lotus,DRX,FNATIC,19,1
2097,Valorant Champions 2024,,378670,Bind,LEVIATÁN,Trace Esports,23,0
2097,Valorant Champions 2024,,378670,Bind,Trace Esports,LEVIATÁN,23,1
2097,Valorant Champions 2024,,378670,Sunset,LEVIATÁN,Trace Esports,22,1
2097,Valorant Champions 2024,,378670,Sunset,Trace Esports,LEVIATÁN,22,0
2097,Valorant Champions 2024,,378670,Ascent,LEVIATÁN,Trace Esports,18,0
2097,Valorant Champions 2024,,378670,Ascent,Trace Esports,LEVIATÁN,18,1
2097,Valorant Champions 2024,,378675,Icebox,EDward Gaming,G2 Esports,21,1
2097,Valorant Champions 2024,,378675,Icebox,G2 Esports,EDward Gaming,21,0
2097,Valorant Champions 2024,,378675,Haven,EDward Gaming,G2 Esports,24,0
2097,Valorant Champions 2024,,378675,Haven,G2 Esports,EDward Gaming,24,1
